Gene_Symbol,Entrez_GeneId,Genome_Location,Role_in_Cancer,n_tumor_types,n_project_cancers,matched_project_cancers,all_tumor_types
EXT1,2131,8:117794490-118111853,"TSG, fusion",2,0,"",exostoses; osteosarcoma
EXT2,2132,11:44096197-44245429,TSG,2,0,"",exostoses; osteosarcoma
FANCA,2175,16:89737549-89816646,TSG,2,0,"",aml; leukaemia
FANCC,2176,9:95099054-95317702,TSG,2,0,"",aml; leukaemia
FANCD2,2177,3:10026414-10099660,TSG,2,0,"",aml; leukaemia
FANCE,2178,6:35452361-35467103,TSG,2,0,"",aml; leukaemia
FANCF,2188,11:22622519-22626787,TSG,2,0,"",aml; leukaemia
FANCG,2189,9:35073838-35080016,TSG,2,0,"",aml; leukaemia
FAS,355,10:88990657-89015785,TSG,3,0,"",tgct; nasal nk/t lymphoma; skin squamous cell carcinoma-burn scar related
FAT1,2195,4:186587783-186723855,TSG,5,0,"",oral squamous cell; chemorefractory cll; head and neck; pancreatic acinar cell carcinoma; pancreatic
FAT4,79633,4:125316399-125492932,TSG,5,0,"",lymphoma; pancreatic; head and neck; melanoma; hepatocellular carcinoma
FBXW7,55294,4:152320544-152536063,TSG,3,1,colorectal,colorectal; endometrial; t-all
FES,2242,15:90884412-90895776,"oncogene, TSG",2,1,ovarian,hnscc; ovarian carcinoma
FGFR1,2260,8:38411138-38467845,"oncogene, fusion",3,0,"",mpn; nhl; salivary adenoma
FGFR1OP,11116,6:166999182-167052713,fusion,2,0,"",mpn; nhl
FGFR2,2263,10:121479857-121598403,"oncogene, fusion",3,0,"",gastric; nsclc; endometrial
FGFR3,2261,4:1793312-1808872,"oncogene, fusion",3,0,"",bladder; mm; t-cell lymphoma
FH,2271,1:241497603-241519761,TSG,4,0,"",cutaneous leiomyoma; rcc; uterine leiomyoma; pheochromocytoma and paraganglioma
FLCN,201163,17:17212212-17237139,TSG,3,0,"",renal; fibrofolliculomas; trichodiscomas
FLT3,2322,13:28003274-28100592,oncogene,2,0,"",aml; all
FOXA1,3169,14:37589984-37595034,oncogene,2,2,breast; prostate,breast; prostate
FOXO4,4303,X:71096197-71103535,"oncogene, TSG, fusion",2,0,"",al; soft tissue sarcoma
FUS,2521,16:31180110-31194871,"TSG, fusion",5,0,"",liposarcoma; aml; ewing sarcoma; angiomatoid fibrous histiocytoma; fibromyxoid sarcoma
GNA11,2767,19:3094410-3124004,oncogene,2,0,"",uveal melanoma; primary central nervous system melanocytic neoplasms
GNAQ,2776,9:77716087-78031458,oncogene,2,0,"",uveal melanoma; primary central nervous system melanocytic neoplasms
GNAS,2778,20:58852714-58911192,oncogene,3,0,"",pituitary adenoma; pancreatic intraductal papillary mucinous neoplasm; fibrous dysplasia
GOLGA5,9950,14:92794231-92839963,fusion,2,0,"",papillary thyroid; spitzoid tumour
GOPC,57120,6:117560269-117602364,fusion,3,0,"",glioblastoma; cholangiocarcinoma; borderline ovarian
GRIN2A,2903,16:9753404-10182754,TSG,4,2,colorectal; lung,melanoma; colorectal carcinoma; gastric carcinoma; lung carcinoma
HGF,3082,7:81699008-81770198,"oncogene, fusion",3,2,breast; lung,breast cancer; lung cancer; multiple myeloma
HIF1A,3091,14:61697622-61748259,oncogene,6,2,colorectal; lung,endometrioid carcinoma; glioblastoma; colorectal; renal; lung; pancreatic
HIP1,3092,7:75533300-75738947,"oncogene, fusion",2,0,"",cmml; nsclc
HMGA1,3159,6:34236873-34246230,"oncogene, fusion",2,0,"",microfollicular thyroid adenoma; various benign mesenchymal tumours
HMGA2,8091,12:65824460-65915447,"oncogene, fusion",3,0,"",lipoma; leiomyoma; pleomorphic salivary gland adenoma
HNF1A,6927,12:120978749-121001269,TSG,3,0,"",hepatic adenoma; hepatocellular; hepatocellular carcinoma
HRAS,3265,11:532243-535550,oncogene,5,0,"",infrequent sarcomas; rare other tumour types; rhabdomyosarcoma; ganglioneuroblastoma; bladder
IGH,3492,14:-,fusion,7,0,"",mm; burkitt lymphoma; nhl; cll; b-all; malt; mlcls
IGK,50802,2:-,fusion,2,0,"",burkitt lymphoma; b-nhl
IKZF1,10320,7:50304669-50405101,"TSG, fusion",2,0,"",all; dlbcl
IKZF3,22806,17:39757715-39864188,"oncogene, TSG, fusion",4,2,breast; colorectal,b-all; cll; breast cancer; colorectal cancer
IL7R,3575,5:35856849-35879603,oncogene,2,0,"",all; etp all
