entrez_id,node_idx,degree,gene_symbol,zstat_brca,p_brca,zstat_coca,p_coca,zstat_luca,p_luca,zstat_ovca,p_ovca,zstat_prca,p_prca
1795,2971,11,DOCK3,1.3455,0.089226,-0.40301,0.65653,-0.70487,0.75956,1.363,0.086448,1.6218,0.052428
1796,2972,10,DOK1,0.64678,0.25889,-0.65983,0.74532,-0.55167,0.70941,0.98821,0.16153,0.38295,0.35088
1797,2973,17,DXO,1.6556,0.048906,3.1387,0.00084843,4.8705,5.5669e-07,-0.57685,0.71798,5.5694,1.2784e-08
1798,2974,19,DPAGT1,-0.23666,0.59354,0.057389,0.47712,1.1721,0.12057,0.90602,0.18246,0.4667,0.32036
18,2975,36,ABAT,-0.95655,0.8306,0.70872,0.23925,0.39371,0.3469,0.52814,0.2987,-1.0005,0.84146
1801,2976,10,DPH1,1.521,0.064127,2.1555,0.015563,-0.0077342,0.50309,0.50211,0.30779,2.7498,0.0029819
1802,2977,10,DPH2,2.8532,0.0021638,0.71557,0.23713,0.18825,0.42534,0.95794,0.16905,1.4421,0.074636
1803,2978,51,DPP4,1.9359,0.026439,0.72022,0.23569,0.91485,0.18013,0.087083,0.4653,-0.61815,0.73176
1804,2979,17,DPP6,-0.44739,0.6727,1.5784,0.057241,-0.43283,0.66743,0.4662,0.32054,-0.32575,0.6277
1805,2980,7,DPT,1.992,0.023188,0.47015,0.31912,-0.038352,0.5153,0.38587,0.3498,-0.18388,0.57295
1806,2981,49,DPYD,0.61729,0.26852,2.1339,0.016425,-0.69998,0.75803,-0.34974,0.63673,1.0681,0.14274
1807,2982,8,DPYS,-0.52433,0.69997,0.063752,0.47458,-0.61678,0.73131,0.3943,0.34668,-0.16756,0.56654
1808,2983,30,DPYSL2,1.6032,0.054449,0.54442,0.29308,0.22048,0.41275,-0.30634,0.62033,0.050112,0.48002
1809,2984,23,DPYSL3,0.75724,0.22445,-0.12187,0.5485,0.4424,0.3291,1.5177,0.064542,1.4765,0.06991
181,2985,30,AGRP,1.1975,0.11556,0.65211,0.25716,0.89404,0.18565,1.1892,0.11718,2.3561,0.009235
1810,2986,45,DR1,-2.0245,0.97854,1.2022,0.11465,0.24447,0.40343,-0.1794,0.57119,0.29713,0.38319
1811,2987,15,SLC26A3,0.58948,0.27777,1.9245,0.027146,0.47197,0.31847,1.3638,0.086322,-0.23483,0.59283
1812,2988,31,DRD1,-0.31811,0.6248,0.72791,0.23333,-2.0452,0.97958,-0.28549,0.61237,0.70041,0.24184
1813,2989,67,DRD2,2.564,0.0051732,-0.32588,0.62774,0.80631,0.21003,1.8413,0.032789,2.4056,0.0080737
1814,2990,21,DRD3,-0.23996,0.59482,-0.59596,0.7244,1.5161,0.064741,0.33676,0.36815,1.2312,0.10913
1815,2991,32,DRD4,-1.2984,0.90293,-0.69942,0.75786,1.5469,0.060944,1.9417,0.026087,0.58566,0.27905
1816,2992,21,DRD5,0.16317,0.43519,1.0405,0.14906,2.2279,0.012945,0.8284,0.20372,0.95601,0.16953
1819,2993,26,DRG2,3.4168,0.00031685,0.4386,0.33047,0.14922,0.44069,0.41894,0.33763,3.5587,0.00018633
182,2994,35,JAG1,-0.70506,0.75961,0.31774,0.37534,0.71473,0.23739,0.73669,0.23066,3.8458,6.0081e-05
1820,2995,4,ARID3A,1.4829,0.069045,1.0445,0.14813,0.67234,0.25068,0.87988,0.18946,-0.065459,0.5261
1821,2996,2,DRP2,0.585568,0.361344,0.714181,0.342571,0.396488,0.406508,0.274841,0.43436,1.14135,0.290397
1822,2997,15,ATN1,-0.15221,0.56049,-0.25183,0.59941,-1.1677,0.87854,-0.58211,0.71975,2.4203,0.0077538
